step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
136,0.43034062930778455,5.4544835,2.429871073555715,0.003805854290826351,235.91107177289405,23.940040012231083,235.36822509324125,10.252447217281603,0.2404334545135498,0.00031757354736328125
137,0.45976030304586546,4.9826455,2.5115555653397905,0.004677373147996591,235.90858459022283,23.815168327917647,235.36822509324125,10.252447217281603,0.23900938034057617,0.0002868175506591797
138,0.4949546903160483,5.037992,2.6059121917547765,0.00583600137852178,235.9058685258293,23.685632975330687,235.36822509324125,10.252447217281603,0.24642658233642578,0.0003304481506347656
139,0.5347648706785927,6.472285,2.7086849255146475,0.007171592695661614,235.90313720258507,23.551029587553675,235.36822509324125,10.252447217281603,0.2469031810760498,0.0003254413604736328
140,0.5784005737828779,4.845617,2.817029618641076,0.0069921527168354545,235.9002227739111,23.41110828170933,235.36822509324125,10.252447217281603,0.2397449016571045,0.00044226646423339844
141,0.6253311725145543,5.905009,2.929085810777773,0.006710950982793876,235.89707946338513,23.26569739304497,235.36822509324125,10.252447217281603,0.2448580265045166,0.0003077983856201172
142,0.6751707479605447,5.905009,3.043573994832173,0.0058115018694238985,235.89364623573405,23.114690110046073,235.36822509324125,10.252447217281603,0.24178194999694824,0.00030112266540527344
143,0.7276485946806248,5.612883,3.1596421821178065,0.0006876500049301207,235.890029902783,22.957996776599252,235.36822509324125,10.252447217281603,0.24513959884643555,0.00028252601623535156
144,0.7825372844561723,7.024146,3.2766463865877693,-0.0013785908379792882,235.88624572312315,22.79556971068768,235.36822509324125,10.252447217281603,0.2410261631011963,0.0003101825714111328
145,0.839668203642949,5.194331,3.3941490471075753,-0.0029205548979349795,235.8823242143261,22.627366947706907,235.36822509324125,10.252447217281603,0.24234437942504883,0.0003178119659423828
146,0.898895860725594,5.502405,3.511815941810611,-0.0034432204202907426,235.8786315873811,22.45336177686821,235.36822509324125,10.252447217281603,0.24966645240783691,0.00031566619873046875
147,0.9601099814245999,6.440197,3.6294226738071598,-0.003530744551317532,235.8750152543003,22.27354848708729,235.36822509324125,10.252447217281603,0.26250386238098145,0.00031065940856933594
148,1.0061247091885899,5.574935,3.7153776403035335,-0.0009723605939058558,235.8714141800702,22.08877396413874,235.36822509324125,10.252447217281603,0.25026369094848633,0.00029754638671875
149,1.0003047871845927,5.149272,3.70461626625115,-0.0033482803165088724,235.86795043497725,21.903059073983144,235.36822509324125,10.252447217281603,0.23960566520690918,0.00032019615173339844
150,0.975544218477962,5.5166435,3.65847873815301,0.0009431123608119836,235.86454772502756,21.720012671354493,235.36822509324125,10.252447217281603,0.24186968803405762,0.0003209114074707031
151,0.9407695522955557,6.2694144,3.592681207329009,0.002516819250616617,235.86106872108397,21.539695790499934,235.36822509324125,10.252447217281603,0.24300789833068848,0.00032806396484375
152,0.8675924898110265,5.870673,3.450125933963467,-0.0021058447162302426,235.857910151837,21.36549984729744,235.36822509324125,10.252447217281603,0.24359583854675293,0.0003287792205810547
153,0.7632172113896891,4.9632864,3.2359450150252145,0.0029644338005986337,235.85464477089474,21.201136695332607,235.36822509324125,10.252447217281603,0.24783825874328613,0.0004813671112060547
154,0.6461904528677649,5.427349,2.9775380792436112,0.0047834094632675786,235.85145568407617,21.049372103571613,235.36822509324125,10.252447217281603,0.24041748046875,0.0003190040588378906
155,0.53141617836888,4.8633432,2.7001907279340536,0.0054047399140963286,235.84887694869008,20.91127233303487,235.36822509324125,10.252447217281603,0.23745393753051758,0.00037598609924316406
156,0.4234246282168058,4.8534837,2.410266769288117,0.007387556636755726,235.84628295458305,20.787468735390394,235.36822509324125,10.252447217281603,0.24036216735839844,0.0003921985626220703
157,0.3426995174377129,4.9785657,2.168372057384392,0.004844702347650673,235.84379577191183,20.676784438096465,235.36822509324125,10.252447217281603,0.2394239902496338,0.00029397010803222656
